College,Location
Adams State College,"Alamosa, Colorado"
Aims Community College,"Greeley, Colorado"
American Sentinel University,"Aurora, Colorado"
Arapahoe Community College,"Littleton, Colorado"
Bel Rea Institute of Animal Technology,"Denver, Colorado"
Boulder College of Massage Therapy,"Boulder, Colorado"
College America Colorado Springs,"Colorado Springs, Colorado"
College America Denver,"Denver, Colorado"
College America Fort Collins,"Fort Collins, Colorado"
Colorado Academy of Veterinary Technology,"Colorado Springs, Colorado"
Colorado Christian University,"Lakewood, Colorado"
Colorado College,"Colorado Springs, Colorado"
Colorado Mesa University,"Grand Junction, Colorado"
Colorado Mountain College,"Glenwood Springs, Colorado"
Colorado Northwestern Community College,"Rangely, Colorado"
Colorado School of Healing Arts,"Lakewood, Colorado"
Colorado School of Mines,"Golden, Colorado"
Colorado State University Fort Collins,"Fort Collins, Colorado"
Colorado State University Pueblo,"Pueblo, Colorado"
Colorado Technical University Colorado Springs,"Colorado Springs, Colorado"
Colorado Technical University Greenwood Village,"Aurora, Colorado"
Colorado Technical University Online,"Colorado Springs, Colorado"
Community College of Aurora,"Aurora, Colorado"
Community College of Denver,"Denver, Colorado"
Denver School of Nursing,"Denver, Colorado"
DeVry University Colorado,"Westminster, Colorado"
Ecotech Institute,"Aurora, Colorado"
Fort Lewis College,"Durango, Colorado"
Front Range Community College,"Westminster, Colorado"
Institute of Business and Medical Careers,"Fort Collins, Colorado"
Johnson & Wales University Denver,"Denver, Colorado"
Jones International University,"Centennial, Colorado"
Lamar Community College,"Lamar, Colorado"
Metropolitan State College of Denver,"Denver, Colorado"
Morgan Community College,"Fort Morgan, Colorado"
Naropa University,"Boulder, Colorado"
National American University Centennial,"Centennial, Colorado"
National American University Colorado Springs,"Colorado Springs, Colorado"
National American University Colorado Springs South,"Colorado Springs, Colorado"
National American University Denver,"Denver, Colorado"
Nazarene Bible College,"Colorado Springs, Colorado"
Northeastern Junior College,"Sterling, Colorado"
Otero Junior College,"La Junta, Colorado"
Pikes Peak Community College,"Colorado Springs, Colorado"
Platt College Aurora,"Aurora, Colorado"
Prince Institute Rocky Mountains,"Westminster, Colorado"
Pueblo Community College,"Pueblo, Colorado"
Red Rocks Community College,"Lakewood, Colorado"
Redstone College,"Broomfield, Colorado"
Regis University,"Denver, Colorado"
Remington College Colorado Springs Campus,"Colorado Springs, Colorado"
Rocky Mountain College of Art and Design,"Denver, Colorado"
Trinidad State Junior College,"Trinidad, Colorado"
United States Air Force Academy,"USAFA, Colorado"
University of Colorado Boulder,"Boulder, Colorado"
University of Colorado Denver,"Denver, Colorado"
University of Colorado Colorado Springs,"Colorado Springs, Colorado"
University of Denver,"Denver, Colorado"
University of Northern Colorado,"Greeley, Colorado"
University of Phoenix Colorado Campus,"Lone Tree, Colorado"
University of Phoenix Southern Colorado Campus,"Colorado Springs, Colorado"
Western State Colorado University,"Gunnison, Colorado"
